Canadian Food,US Matches
Cheese souffle,Cheese souffle(100.0% match #14630200); Cheese sauce(76.92% match #14650100); Lime souffle(69.23% match #63403150); 
"Chop suey, with meat, canned","Lasagna with meat, canned(71.7% match #58130013); "
"Chinese dish, chow mein, chicken",
Corn fritter,"Corn fritter(100.0% match #75411020); Corn pone, fried(64.29% match #52208020); Corn relish(60.87% match #75501010); "
"Beef pot roast, with browned potatoes, peas and corn","Beef, pot roast, braised or boiled, lean and fat eaten(64.15% match #21407110); "
"Fried chicken, mashed potatoes and vegetables",Rabbit stew with potatoes and vegetables(65.88% match #27335100); Fajita with chicken and vegetables(63.29% match #58105000); Fajita with meat and vegetables(63.16% match #58105050); 
"Meat loaf with tomato sauce, mashed potatoes and peas","Pasta with tomato sauce, meatless(69.77% match #58146100); Pasta with cheese and tomato sauce, meatless(61.86% match #58146150); "
Sliced turkey with mashed potatoes and peas,
"Vinegar, cider",Vinegar(66.67% match #64401000); 
"Vinegar, distilled (white)","Wine, table, white(63.64% match #93401020); "
"Butter, whipped","Butter, whipped, tub, salted(69.77% match #81101010); Butter, whipped, stick, salted(66.67% match #81101020); Butter, whipped, tub, unsalted(66.67% match #81101110); "
"Butter oil, anhydrous",
"Cheese, blue","Cheese, Limburger(75.86% match #14106010); Cheese, Feta(75.0% match #14104400); Cheese sauce(75.0% match #14650100); "
"Cheese, brick","Cheese, Brick(92.31% match #14102010); Cheese, Brie(80.0% match #14103020); Cheese, American(75.86% match #14410110); "
"Cheese, brie","Cheese, Brie(91.67% match #14103020); Cheese, cream(80.0% match #14301010); Cheese, Gruyere(74.07% match #14105200); "
"Cheese, camembert","Cheese, Camembert(94.12% match #14103010); Cheese, cream(73.33% match #14301010); Cheese, Muenster(66.67% match #14107200); "
"Cheese, caraway","Cheese, cream(71.43% match #14301010); Chives, raw(69.23% match #75109500); Cheese, Feta(66.67% match #14104400); "
"Cheese, cheshire","Cheese, cream(75.86% match #14301010); Cheese, Gruyere(70.97% match #14105200); Cheese, Monterey(68.75% match #14106200); "
"Cheese, colby","Cheese, Colby(92.31% match #14104200); Cheese, Colby Jack(77.42% match #14104250); Cheese, goat(72.0% match #14104700); "
"Cheese, cottage, creamed (4.5% M.F.)","Cheese, cottage, lowfat (1-2% fat)(65.71% match #14204010); Cheese, cottage, creamed, large or small curd(64.2% match #14201010); Cheese, cottage, salted, dry curd(63.77% match #14203020); "
"Cheese, cottage, creamed with fruit","Cheese, cottage, with fruit(87.1% match #14202010); Cheese, cottage, lowfat, with fruit(82.86% match #14204020); Cheesecake with fruit(71.43% match #53104550); "
"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","Cheese, cottage, salted, dry curd(74.07% match #14203020); Cheese, cottage, dry curd(68.49% match #14203010); "
"Cheese, cream","Cheese, cream(100.0% match #14301010); Cheese, Feta(80.0% match #14104400); Cheese, goat(72.0% match #14104700); "
"Cheese, edam","Cheese, cream(88.0% match #14301010); Cheese, goat(75.0% match #14104700); Cheese, American(71.43% match #14410110); "
"Cheese, fontina","Cheese, Fontina(93.33% match #14104600); Cheese, goat(74.07% match #14104700); Cheese, Ricotta(73.33% match #14201500); "
"Cheese, gjetost","Cheese, Feta(74.07% match #14104400); Cheese, goat(74.07% match #14104700); Cheese, Muenster(70.97% match #14107200); "
"Cheese, gruyere","Cheese, Gruyere(93.33% match #14105200); Cheese, cream(71.43% match #14301010); Cheese, Muenster(70.97% match #14107200); "
"Cheese, limburger","Cheese, Limburger(94.12% match #14106010); Cheese, Brie(68.97% match #14103020); Cheese, Gruyere(68.75% match #14105200); "
"Cheese, monterey","Cheese, Monterey(93.75% match #14106200); Cheese, Muenster(75.0% match #14107200); Cheese, cream(68.97% match #14301010); "
"Cheese, mozzarella, (48% water, 25% M.F.)","Cheese, Mozzarella, NFS(62.5% match #14107010); "
