UK Food,US Matches
"Beer, mild, draught",
"Beer, bitter, canned","Beef, roast, canned(71.79% match #21401400); Lobster, canned(68.57% match #26311180); Oysters, canned(62.86% match #26315180); "
"Beer, bitter, average",Bean beverage(64.71% match #92306200); 
Strong ale/barley wine,
"Stout, Mackeson",
"Stout, Guinness",
"Shandy, homemade","Granola, homemade(72.73% match #57228000); Salsa, red, homemade(72.22% match #74402200); "
"Pale ale, bottled","Dasheen, boiled(62.5% match #71962010); "
"Lager, premium",
"Lager, low alcohol","Wine, nonalcoholic(61.11% match #92801000); "
"Stout, extra",
"Beer, bitter, draught",
Shandy,Brandy(66.67% match #93501000); 
"Stout, bottled","Goat, boiled(69.23% match #23150100); Peanuts, boiled(62.07% match #42111030); "
"Lager, alcohol-free",
"Bitter, best/premium",
"Bitter, low alcohol","Wine, nonalcoholic(64.86% match #92801000); "
"Brown ale, bottled",
Lager,Lard(66.67% match #81202000); 
"Beer, bitter, keg","Beer, lite(66.67% match #93102000); "
"Cider, dry",
"Cider, low alcohol","Wine, nonalcoholic(66.67% match #92801000); Wine, light, nonalcoholic(60.47% match #92802000); "
"Cider, sweet","Wine, dessert, sweet(68.75% match #93402000); "
"Cider, vintage",
"Sherry, sweet","Whey, sweet, dry(68.97% match #11825000); Tamale, sweet(61.54% match #53430700); "
"Sherry, medium",
"Sherry, dry","Cherries, dried(61.54% match #62106000); "
Port,
Tonic wine,
"Liqueurs, low-medium strength",
Egg nog,
"Liqueurs, high strength",Liqueur with cream(63.41% match #93301450); 
Cream liqueurs,Cordial or liqueur(68.75% match #93201000); 
Advocaat,
Curacao,Crab cake(62.5% match #27250040); Guacamole(62.5% match #63409010); 
Cherry brandy,
"Spirits, 40% volume",
"Spirits, 37.5% volume",
"Vermouth, sweet",
"Vermouth, dry",
"White wine, medium",
"Mulled wine, homemade","Salsa, red, homemade(63.41% match #74402200); "
"White wine, sweet","Whey, sweet, dry(60.61% match #11825000); "
"White wine, sparkling",
"White wine, dry",
"Rose wine, medium",
Champagne,
Red wine,
"Ginger ale, dry","Ginger ale(80.0% match #92410610); Ginger ale, sugar-free(70.27% match #92410620); Wine, table, red(64.52% match #93401010); "
"Soda, club",
Lucozade,
"Cola, diet","Roll, diet(80.0% match #51154510); Algae, dried(63.64% match #75200600); Chocolate, white(61.54% match #91705400); "
Tonic water,
"Soda, cream","Sour cream(76.19% match #12310100); Kohlrabi, creamed(64.29% match #75413010); "
Lemonade,"Lemon, raw(66.67% match #61113010); "
Cola,Capicola(66.67% match #25220510); 
"Fruit juice drink, carbonated, ready to drink","Fruit juice drink, low calorie(64.0% match #92550040); Fruit juice bar, frozen, orange flavor(60.24% match #63420100); "
Dr Pepper,Pepperoni(66.67% match #25221250); 
Root beer,"Root beer(100.0% match #92410710); Roll, oat bran(60.87% match #51502100); "
"Tea, black, infusion, weak",
"Milkshake syrup, concentrated, made up with semi-skimmed milk",
"Milkshake syrup, concentrated, made up with whole milk","Milk, malted, fortified, chocolate, made with milk(61.54% match #11526000); "
