UKFoodCode	FoodName
17-215	"Beer, mild, draught"
50-1094	"Beer, bitter, canned"
17-506	"Beer, bitter, average"
17-221	Strong ale/barley wine
17-220	"Stout, Mackeson"
17-219	"Stout, Guinness"
17-218	"Shandy, homemade"
17-216	"Pale ale, bottled"
17-214	"Lager, premium"
17-213	"Lager, low alcohol"
50-1102	"Stout, extra"
50-1095	"Beer, bitter, draught"
17-217	Shandy
50-1101	"Stout, bottled"
17-212	"Lager, alcohol-free"
17-208	"Bitter, best/premium"
17-209	"Bitter, low alcohol"
17-210	"Brown ale, bottled"
17-211	Lager
50-1096	"Beer, bitter, keg"
17-222	"Cider, dry"
17-223	"Cider, low alcohol"
17-224	"Cider, sweet"
17-225	"Cider, vintage"
17-237	"Sherry, sweet"
17-236	"Sherry, medium"
17-235	"Sherry, dry"
17-234	Port
17-238	Tonic wine
17-245	"Liqueurs, low-medium strength"
17-578	Egg nog
17-244	"Liqueurs, high strength"
17-242	Cream liqueurs
17-241	Advocaat
50-1121	Curacao
50-1120	Cherry brandy
17-247	"Spirits, 40% volume"
17-246	"Spirits, 37.5% volume"
17-240	"Vermouth, sweet"
17-239	"Vermouth, dry"
17-231	"White wine, medium"
17-596	"Mulled wine, homemade"
17-233	"White wine, sweet"
17-232	"White wine, sparkling"
17-230	"White wine, dry"
17-229	"Rose wine, medium"
17-226	Champagne
17-228	Red wine
17-178	"Ginger ale, dry"
17-182	"Soda, club"
17-543	Lucozade
17-505	"Cola, diet"
17-184	Tonic water
17-183	"Soda, cream"
17-179	Lemonade
17-175	Cola
17-177	"Fruit juice drink, carbonated, ready to drink"
17-176	Dr Pepper
17-181	Root beer
17-166	"Tea, black, infusion, weak"
17-204	"Milkshake syrup, concentrated, made up with semi-skimmed milk"
17-203	"Milkshake syrup, concentrated, made up with whole milk"
17-174	"Tea, lemon, instant powder, with water"
17-172	"Tea, herbal, infusion"
17-171	"Tea, green, infusion"
17-170	"Tea, Chinese, leaves, infusion"
17-169	"Tea, infusion, average, with semi-skimmed milk"
17-167	"Tea, black, infusion, strong"
17-155	"Coffee, infusion, average, with single cream"
17-152	"Coffee, infusion, average"
17-168	"Tea, infusion, average, with whole milk"
17-154	"Coffee, infusion, weak"
17-594	"Coffee, Irish"
17-156	"Coffee, infusion, average, with whole milk"
17-157	"Coffee, infusion, average, with semi-skimmed milk"
17-159	"Coffee, instant, made up with water"
17-160	"Coffee, instant, made up with water and whole milk"
17-161	"Coffee, instant, made up with water and semi-skimmed milk"
17-153	"Coffee, infusion, strong"
14-286	"Pineapple juice, unsweetened"
17-537	Cranberry juice 
14-301	"Orange juice, unsweetened"
